Precinct,Lat,Long,Percentage in Same Zip,Percentage in Brooklyn,Percentage in Bronx,Percentage in Manhattan,Percentage in Staten Island,Percentage in Queens,Percentage in Long Island,Percentage in Upstate Ny,Percentage in NYC
090 PRECINCT,40.706172,-73.950676,0.08,0.25,0.0,0.0,0.02,0.23,0.32,0.0,0.51
094 PRECINCT,40.726752,-73.953275,0.08,0.2,0.01,0.03,0.03,0.26,0.19,0.01,0.53
100 PRECINCT,40.586293,-73.816548,0.03,0.06,0.01,0.0,0.0,0.25,0.51,0.0,0.31
101 PRECINCT,40.602933,-73.750036,0.06,0.04,0.0,0.0,0.0,0.16,0.63,0.0,0.2
102 PRECINCT,40.698763,-73.831498,0.06,0.02,0.0,0.0,0.0,0.35,0.47,0.01,0.38
103 PRECINCT,40.707074,-73.792644,0.02,0.01,0.01,0.0,0.0,0.24,0.62,0.01,0.26
104 PRECINCT,40.704318,-73.893635,0.14,0.04,0.0,0.01,0.0,0.33,0.33,0.02,0.38
105 PRECINCT,40.726213,-73.735125,0.03,0.01,0.01,0.0,0.0,0.2,0.66,0.01,0.22
106 PRECINCT,40.682217,-73.839769,0.03,0.01,0.0,0.0,0.0,0.26,0.55,0.01,0.27
107 PRECINCT,40.730045,-73.810661,0.04,0.01,0.0,0.0,0.0,0.31,0.56,0.0,0.33
108 PRECINCT,40.742948,-73.954631,0.03,0.03,0.03,0.02,0.01,0.41,0.35,0.03,0.49
109 PRECINCT,40.762323,-73.827101,0.05,0.01,0.02,0.0,0.0,0.35,0.48,0.02,0.38
110 PRECINCT,40.745208,-73.870088,0.05,0.02,0.01,0.0,0.0,0.3,0.47,0.02,0.34
111 PRECINCT,40.760246,-73.767748,0.05,0.0,0.01,0.0,0.0,0.35,0.5,0.0,0.37
112 PRECINCT,40.722286,-73.851347,0.02,0.02,0.01,0.01,0.0,0.35,0.47,0.01,0.39
113 PRECINCT,40.679749,-73.775807,0.04,0.02,0.01,0.01,0.0,0.2,0.65,0.0,0.23
114 PRECINCT,40.769257,-73.915338,0.02,0.05,0.01,0.01,0.0,0.35,0.44,0.02,0.41
115 PRECINCT,40.75688,-73.875528,0.02,0.01,0.0,0.0,0.0,0.36,0.46,0.01,0.39
120 PRECINCT,40.644577,-74.077465,0.02,0.02,0.0,0.0,0.94,0.0,0.01,0.01,0.97
121 PRECINCT,40.62372,-74.150708,0.09,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.9
122 PRECINCT,40.574136,-74.105523,0.09,0.02,0.0,0.0,0.88,0.0,0.0,0.0,0.9
123 PRECINCT,40.511862,-74.250002,0.06,0.02,0.0,0.0,0.89,0.01,0.0,0.02,0.91
HOUSING PSA 1,40.576216,-73.990486,0.01,0.24,0.01,0.02,0.24,0.2,0.18,0.0,0.71
HOUSING PSA 2,40.668677,-73.898462,0.01,0.29,0.03,0.01,0.04,0.21,0.34,0.01,0.57
HOUSING PSA 3,40.702343,-73.932174,0.01,0.21,0.0,0.03,0.01,0.25,0.37,0.01,0.5
HOUSING PSA 4,40.724767,-73.978084,0.0,0.23,0.11,0.06,0.05,0.13,0.2,0.11,0.57
HOUSING PSA 5,40.801577,-73.936206,0.0,0.11,0.16,0.1,0.0,0.15,0.24,0.11,0.52
HOUSING PSA 6,40.824372,-73.940556,0.0,0.08,0.2,0.08,0.01,0.17,0.14,0.21,0.54
HOUSING PSA 7,40.820726,-73.91587,0.01,0.01,0.35,0.1,0.0,0.09,0.02,0.29,0.55
HOUSING PSA 8,40.823771,-73.825301,0.01,0.0,0.23,0.12,0.01,0.1,0.04,0.36,0.45
HOUSING PSA 9,40.731798,-73.803655,0.0,0.06,0.06,0.02,0.0,0.22,0.53,0.05,0.36
TRANSIT BUREAU DISTRICT 1,40.768166,-73.982101,0.0,0.09,0.05,0.12,0.09,0.2,0.19,0.18,0.55
TRANSIT BUREAU DISTRICT 2,40.720037,-74.003761,0.01,0.15,0.09,0.07,0.11,0.16,0.21,0.1,0.58
TRANSIT BUREAU DISTRICT 3,40.823943,-73.944438,0.01,0.09,0.14,0.11,0.01,0.16,0.16,0.23,0.51
TRANSIT BUREAU DISTRICT 4,40.735175,-73.99069,0.0,0.17,0.05,0.05,0.07,0.14,0.26,0.15,0.49
TRANSIT BUREAU DISTRICT 11,40.827838,-73.925572,0.02,0.02,0.25,0.09,0.0,0.03,0.04,0.35,0.4
TRANSIT BUREAU DISTRICT 12,40.840974,-73.872005,0.02,0.0,0.41,0.02,0.01,0.06,0.02,0.32,0.5
TRANSIT BUREAU DISTRICT 20,40.699956,-73.809262,0.02,0.04,0.01,0.0,0.0,0.29,0.54,0.01,0.34
TRANSIT BUREAU DISTRICT 23,40.580315,-73.837227,0.06,0.07,0.0,0.0,0.01,0.24,0.56,0.0,0.31
TRANSIT BUREAU DISTRICT 30,40.68885,-73.985613,0.01,0.34,0.01,0.01,0.06,0.19,0.29,0.01,0.61
TRANSIT BUREAU DISTRICT 32,40.667906,-73.959443,0.01,0.36,0.0,0.02,0.1,0.17,0.21,0.02,0.65
TRANSIT BUREAU DISTRICT 33,40.678197,-73.904024,0.03,0.2,0.01,0.01,0.03,0.27,0.36,0.01,0.52
TRANSIT BUREAU DISTRICT 34,40.575805,-73.98094,0.05,0.41,0.01,0.0,0.24,0.12,0.13,0.01,0.77
Total : ,,,0.0,0.14,0.09,0.05,0.1,0.16,0.24,0.11,0.54
