WKT,id,order_number,sos,sos_new,on_street,from_street,to_street,smo_code,sign_description,size_description,facing_direction_type,arrow_points,distance_from_intersection,smo_category,smo_subtype,last_work_date,notes
"POINT (-73.9819329098672 40.7696624436056)","12057414",S-01450441,S,"[ ""S"", ""South side"" ]",WEST   61 STREET,BROADWAY,CENTRAL PARK WEST,PS-15G,NO PARKING MONDAY-FRIDAY 8AM-6PM <-> ,018 X 012,,,"59",parking,No Parking (Non-ASP),2016/04/26,
"POINT (-73.9621203202691 40.7971679004161)","12054340",S-01450075,S,"[ ""S"", ""South side"" ]",WEST  104 STREET,MANHATTAN AVENUE,CENTRAL PARK WEST,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"78",parking,Street Cleaning,2020/06/22,
"POINT (-73.9808153464206 40.7819200550231)","10737713",P-01311173,E,"[ ""E"", ""East side"" ]",BROADWAY,WEST   76 STREET,WEST   77 STREET,PS-9A,ZONE#113815 PAY BY CELL LOCATOR,018 X 006,,,"62",parking,Metered Parking,2018/12/13,"113815"
"POINT (-73.9594173697766 40.7994423599572)","12054201",S-01450062,S,"[ ""S"", ""South side"" ]",WEST  108 STREET,MANHATTAN AVENUE,CENTRAL PARK WEST,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"333",parking,Street Cleaning,2020/06/24,
"POINT (-73.9623003946635 40.7980709750411)","12054330",S-01450074,S,"[ ""S"", ""South side"" ]",WEST  105 STREET,MANHATTAN AVENUE,COLUMBUS AVENUE,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"68",parking,Street Cleaning,2020/06/22,
"POINT (-73.9612862182437 40.7968162980403)","12054342",S-01450075,S,"[ ""S"", ""South side"" ]",WEST  104 STREET,MANHATTAN AVENUE,CENTRAL PARK WEST,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"343",parking,Street Cleaning,2020/06/22,
"POINT (-73.9617411816057 40.7970085809465)","12054341",S-01450075,S,"[ ""S"", ""South side"" ]",WEST  104 STREET,MANHATTAN AVENUE,CENTRAL PARK WEST,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"198",parking,Street Cleaning,2020/06/22,
"POINT (-73.9625206613189 40.7981616228953)","12054331",S-01450074,S,"[ ""S"", ""South side"" ]",WEST  105 STREET,MANHATTAN AVENUE,COLUMBUS AVENUE,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"137",parking,Street Cleaning,2020/06/22,
"POINT (-73.9630370239871 40.7983786231402)","12054332",S-01450074,S,"[ ""S"", ""South side"" ]",WEST  105 STREET,MANHATTAN AVENUE,COLUMBUS AVENUE,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"300",parking,Street Cleaning,2020/06/22,
"POINT (-73.9598870780494 40.7996909222723)","12054176",S-01450062,S,"[ ""S"", ""South side"" ]",WEST  108 STREET,MANHATTAN AVENUE,CENTRAL PARK WEST,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"202",parking,Street Cleaning,2017/08/18,
