WKT,id,order_number,sos,sos_new,on_street,from_street,to_street,smo_code,sign_description,size_description,facing_direction_type,arrow_points,distance_from_intersection,smo_category,smo_subtype,last_work_date,notes
"POINT (-73.9588718172287 40.8000833729225)","12054152",S-01450059,S,"[ ""S"", ""South side"" ]",WEST  109 STREET,CENTRAL PARK WEST,MANHATTAN AVENUE,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"80",parking,Street Cleaning,2018/10/09,
"POINT (-73.9593335381258 40.8002769584214)","12054160",S-01450060,N,"[ ""N"", ""North side"" ]",WEST  109 STREET,CENTRAL PARK WEST,MANHATTAN AVENUE,PS-49B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 8:30AM-10AM <-> ,018 X 012,,,"226",parking,Street Cleaning,2018/10/09,
"POINT (-73.9598712657296 40.7996842927379)","12054167",S-01450061,N,"[ ""N"", ""North side"" ]",WEST  108 STREET,MANHATTAN AVENUE,CENTRAL PARK WEST,PS-49B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 8:30AM-10AM <-> ,018 X 012,,,"207",parking,Street Cleaning,2015/06/30,
"POINT (-73.9602887120288 40.7998593117158)","12054166",S-01450061,N,"[ ""N"", ""North side"" ]",WEST  108 STREET,MANHATTAN AVENUE,CENTRAL PARK WEST,PS-49B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 8:30AM-10AM <-> ,018 X 012,,,"75",parking,Street Cleaning,2015/07/01,
"POINT (-73.9630333771066 40.8010146743859)","12054253",S-01450068,S,"[ ""S"", ""South side"" ]",WEST  108 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-31GA,NO STANDING SCHOOL DAYS 7AM-4PM --> ,018 X 012,,West,"546",parking,No Standing,2015/03/03,
"POINT (-73.9644105963678 40.8015950344176)","12054245",S-01450068,S,"[ ""S"", ""South side"" ]",WEST  108 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"110",parking,Street Cleaning,2019/01/03,
"POINT (-73.9616601974838 40.8004361372098)","12054216",S-01450065,N,"[ ""N"", ""North side"" ]",WEST  108 STREET,COLUMBUS AVENUE,MANHATTAN AVENUE,PS-49B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 8:30AM-10AM <-> ,018 X 012,,,"81",parking,Street Cleaning,2020/02/12,
"POINT (-73.9640978770429 40.8014632568682)","12054246",S-01450068,S,"[ ""S"", ""South side"" ]",WEST  108 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"209",parking,Street Cleaning,2015/03/03,
"POINT (-73.9639273033875 40.8013913778461)","12054247",S-01450068,S,"[ ""S"", ""South side"" ]",WEST  108 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-31GA,NO STANDING SCHOOL DAYS 7AM-4PM --> ,018 X 012,,East,"263",parking,No Standing,2015/03/03,
"POINT (-73.9639273033875 40.8013913778461)","12054248",S-01450068,S,"[ ""S"", ""South side"" ]",WEST  108 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"263",parking,Street Cleaning,2015/03/03,
