"address_1","nyc_borough_block_and_lot_bbl","year_built","number_of_buildings","largest_property_use_type","largest_property_use_type_gross_floor_area_ft","_2nd_largest_property_use_type","_2nd_largest_property_use_gross_floor_area_ft","_3rd_largest_property_use_type","_3rd_largest_property_use_type_gross_floor_area_ft","total_ghg_emissions_metric_tons_co2e","energy_star_score","reason_s_for_no_score","property_gfa_self_reported_ft","office_gross_floor_area_ft","multifamily_housing_gross_floor_area_ft","parking_gross_floor_area_ft","retail_store_gross_floor_area_ft","supermarket_grocery_gross_floor_area_ft","property_gfa_calculated_buildings_ft","property_gfa_calculated_parking_ft","fuel_oil_2_use_kbtu","fuel_oil_4_use_kbtu","diesel_2_use_kbtu","district_steam_use_kbtu","natural_gas_use_kbtu","natural_gas_use_therms","electricity_use_grid_purchase_kwh"
"1000 10th AVE","1010680001; 1010680003","1963","2","Other - Specialty Hospital","855085","Not Available","Not Available","Not Available","Not Available","14702.9","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","855085","Not Available","Not Available","Not Available","Not Available","Not Available","855085","Not Available","Not Available","Not Available","Not Available","108243278.8","628226.2","6282.26167","27597117.7"
"1000 5th Ave","1-01111-0001","1878","32","Other","2398850","Not Available","Not Available","Not Available","Not Available","31694.5","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","2398850","Not Available","Not Available","Not Available","Not Available","Not Available","2398850","Not Available","5690912.8","Not Available","Not Available","228092084.7","7364827.6","73648.2756","58038956"
"1000 Third Avenue","1013940023","1886","1","Retail Store","849062","Restaurant","7912","Not Available","Not Available","4363","25","Not Available","856974","Not Available","Not Available","Not Available","849062","Not Available","856974","Not Available","Not Available","Not Available","Not Available","14438582.1","686373.2","6863.731943","12421668.5"
"1001 6 Ave","1008130031","1926","1","Office","221479","Financial Office","8772","Restaurant","2100","729.1","83","Not Available","232351","221479","Not Available","Not Available","Not Available","Not Available","232351","Not Available","Not Available","Not Available","Not Available","2348568.2","Not Available","Not Available","2113969.9"
"100 Amsterdam Avenue","1011560030","1982","1","K-12 School","401020","Not Available","Not Available","Not Available","Not Available","1904","64","Not Available","401020","Not Available","Not Available","Not Available","Not Available","Not Available","401020","Not Available","Not Available","Not Available","Not Available","18649088","29100","291.0000139","2449599.7"
"100 Broadway","1-00046-0003","1922","1","Office","356440","Retail Store","23132","Not Available","Not Available","1240.1","81","Not Available","379572","356440","Not Available","Not Available","23132","Not Available","379572","Not Available","Not Available","Not Available","Not Available","1064302.8","Not Available","Not Available","4313086.3"
"100 Central Park South","1010117505","1918","1","Multifamily Housing","89546","Museum","2400","Fast Food Restaurant","2277","493.3","31","Not Available","94975","Not Available","89546","Not Available","0","Not Available","94975","Not Available","Not Available","Not Available","Not Available","4066015.1","538037.5","5380.37523","718125"
"100 Church Street","1001250020","1958","1","Office","967757","Pre-school/Daycare","13772","Data Center","11114","5116.6","75","Not Available","995213","967757","Not Available","Not Available","Not Available","Not Available","995213","Not Available","Not Available","Not Available","Not Available","23732633.5","1774214.8","17742.14808","12711873.6"
"100 East 53rd Street","1-01307-7502","2018","1","Multifamily Housing","304439","Restaurant","14855","Not Available","Not Available","2081.9","1","Not Available","319294","Not Available","304439","Not Available","Not Available","Not Available","319294","Not Available","Not Available","Not Available","Not Available","14242170.5","1728972.7","17289.72683","3852077.3"
"100 John Street","1-00069-7502","1998","1","Multifamily Housing","377672","Parking","13310","Not Available","Not Available","1536.6","38","Not Available","377672","Not Available","377672","13310","Not Available","Not Available","377672","13310","Not Available","Not Available","Not Available","12294092.4","2046887.7","20468.87654","2255752.6"
"100 Maiden Lane","1-00042-0001","1930","1","Multifamily Housing","279600","Not Available","Not Available","Not Available","Not Available","1417.2","30","Not Available","279600","Not Available","279600","Not Available","Not Available","Not Available","279600","Not Available","Not Available","Not Available","Not Available","8441020.5","1418218.2","14182.18204","2882156.1"
"100 Park Avenue","1012750027","1948","1","Office","850336","Retail Store","6248","Data Center","2678","3384.4","80","Not Available","861569","850336","Not Available","Not Available","6248","Not Available","861569","Not Available","Not Available","Not Available","Not Available","12347452.9","731679.8","7316.797965","9315528.7"
"100 Trinity Place","1000520001","1958","1","K-12 School","115125","Not Available","Not Available","Not Available","Not Available","898.1","11","Not Available","115125","Not Available","Not Available","Not Available","Not Available","Not Available","115125","Not Available","Not Available","Not Available","Not Available","8851122.1","28000","280.0000144","1139199.9"
"100 UN Plaza","1-01341-7503","1984","1","Multifamily Housing","374334.9","Parking","30577","Fitness Center/Health Club/Gym","1800","2901.4","5","Not Available","365431","Not Available","374334.9","30577","Not Available","Not Available","376134.9","30577","Not Available","Not Available","Not Available","31094313.5","639198.5","6391.98533","2961204.2"
"100 Wall Street","1-00038-0001","1969","1","Office","509802","Mailing Center/Post Office","5782","Other","2433","2871.9","64","Not Available","519093","509802","Not Available","Not Available","Not Available","Not Available","519093","Not Available","Not Available","Not Available","Not Available","21123596.2","Not Available","Not Available","5419209.4"
"100 West 33rd Street","1008080040","1910","1","Office","766718","Enclosed Mall","231577","Retail Store","8536","3145.6","91","Not Available","1011831","766718","Not Available","Not Available","8536","Not Available","1011831","Not Available","Not Available","Not Available","Not Available","7774447.8","Not Available","Not Available","9697739.1"
"100 West 57th Street","1-01009-0029","1961","1","Multifamily Housing","350000","Parking","54000","Retail Store","25986","1776.7","76","Not Available","375986","Not Available","350000","54000","25986","Not Available","375986","54000","Not Available","Not Available","Not Available","11981751.5","10461971.3","104619.7125","1569092.1"
"100 West 58th Street","1010107505","1926","1","Multifamily Housing","116184","Retail Store","7793","Fast Food Restaurant","4272","848.1","6","Not Available","128249","Not Available","116184","Not Available","7793","Not Available","128249","Not Available","Not Available","Not Available","Not Available","5050985.7","670173.8","6701.7376","1759814.9"
"100 West 92nd Street","1012229029","1969","1","Multifamily Housing","200607","Parking","33110","K-12 School","6017","975.5","95","Not Available","206624","Not Available","200607","33110","Not Available","Not Available","206624","33110","Not Available","Not Available","Not Available","9430408","616035.7","6160.3571","1167778.3"
"100 William Street","1-00068-0036","1972","1","Office","352878","Data Center","22390","Parking","10000","3544.6","74","Not Available","377120","352878","Not Available","10000","Not Available","Not Available","377120","10000","Not Available","Not Available","Not Available","18219013.9","Not Available","Not Available","8611691.9"
"1011 1st Ave","1-01348-0023","1972","2","Office","217085","K-12 School","130000","Other","19911","2107.5","Not Available","Property Type cannot get a score as a campus","379996","217085","Not Available","Not Available","Not Available","Not Available","379996","Not Available","Not Available","Not Available","Not Available","14769706.5","469460.7","4694.606818","4063979.9"
"101 Avenue of the Americas","1-00477-0011","2009","1","Office","211207","Financial Office","111918","Laboratory","33661","3281.9","27","Not Available","357905","211207","Not Available","Not Available","Not Available","Not Available","357905","Not Available","Not Available","Not Available","Not Available","13250412.8","Not Available","Not Available","8859596.7"
"101 EAST 69TH STREET","1014040001","1932","1","Hotel","93000","Not Available","Not Available","Not Available","Not Available","874.6","39","Not Available","93000","Not Available","Not Available","Not Available","Not Available","Not Available","93000","Not Available","Not Available","Not Available","Not Available","7760999.8","497806.8","4978.06794","1227756.2"
"101 East 77th Street","1-01411-0001","1894","9","Hospital (General Medical & Surgical)","858700","Urgent Care/Clinic/Other Outpatient","14300","Not Available","Not Available","16327.2","60","Not Available","873000","Not Available","Not Available","Not Available","Not Available","Not Available","873000","Not Available","Not Available","Not Available","483689.9","139874391.3","Not Available","Not Available","25832037.3"
"101 Greenwich Street","1-00051-0001","1907","1","Office","481035","Not Available","Not Available","Not Available","Not Available","1059.4","96","Not Available","481035","481035","Not Available","Not Available","Not Available","Not Available","481035","Not Available","Not Available","Not Available","Not Available","2619776.2","Not Available","Not Available","3265944.1"
"101 Park Avenue","1-01295-0001","1982","1","Office","1208216","Parking","37399","Social/Meeting Hall","31868","5879.3","67","Not Available","1240084","1208216","Not Available","37399","Not Available","Not Available","1240084","37399","Not Available","Not Available","Not Available","24830759.6","385490.8","3854.90756","15527926.9"
"1025 Fifth Avenue","1014950004","1955","1","Multifamily Housing","284443","Parking","19800","Office","8307","1588.9","40","Not Available","292750","8307","284443","19800","Not Available","Not Available","292750","19800","Not Available","Not Available","Not Available","16086259.6","359984.6","3599.845727","1850275.6"
"1040 Fifth Avenue","1-01497-0001","1930","1","Multifamily Housing","146048","Not Available","Not Available","Not Available","Not Available","721.4","57","Not Available","146048","Not Available","146048","Not Available","Not Available","Not Available","146048","Not Available","Not Available","Not Available","Not Available","6516030","81574.6","815.7459824","1048984.5"
"1045 Fifth Ave","1014970073","1967","1","Multifamily Housing","46827","Not Available","Not Available","Not Available","Not Available","162.1","78","Not Available","46827","Not Available","46827","Not Available","Not Available","Not Available","46827","Not Available","Not Available","Not Available","Not Available","1129091.7","32911.6","329.1159129","314914.8"
"104 BROAD ST","1-00008-0044","1917","1","Other - Technology/Science","217034","Not Available","Not Available","Not Available","Not Available","2550.4","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","217034","Not Available","Not Available","Not Available","Not Available","Not Available","217034","Not Available","Not Available","Not Available","Not Available","5502859.3","Not Available","Not Available","8058836"
"104 Haven Ave.","1021390229","2016","1","College/University","115531","Not Available","Not Available","Not Available","Not Available","1737.9","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","115531","Not Available","Not Available","Not Available","Not Available","Not Available","115531","Not Available","Not Available","Not Available","Not Available","10706836.4","Not Available","Not Available","2157628.2"
"104 West 40th Street","1-00815-0021","1962","1","Office","181600","Not Available","Not Available","Not Available","Not Available","1308.5","54","Not Available","181600","181600","Not Available","Not Available","Not Available","Not Available","181600","Not Available","Not Available","Not Available","Not Available","10525060.9","346852.9","3468.528674","2180639.6"
"1050 Fifth Ave","1014980001","1960","1","Multifamily Housing","193200","Parking","5300","Urgent Care/Clinic/Other Outpatient","3500","842.9","66","Not Available","196700","Not Available","193200","5300","Not Available","Not Available","196700","5300","Not Available","Not Available","Not Available","9212265.2","171616.9","1716.16939","819333.8"
"105 East 17th Street","1008730010;1008737502","1960","1","Office","112170","Not Available","Not Available","Not Available","Not Available","463.8","87","Not Available","112170","112170","Not Available","Not Available","Not Available","Not Available","112170","Not Available","Not Available","Not Available","Not Available","785828.3","Not Available","Not Available","1518329.5"
"106 Central Park South","1010117502","1930","1","Multifamily Housing","366364","Parking","11328","Retail Store","10989","1847.3","44","Not Available","377353","Not Available","366364","11328","10989","Not Available","377353","11328","Not Available","Not Available","Not Available","15140018.1","274771.3","2747.713272","3051679.3"
"1071 Fifth Avenue","1-01500-0001","1959","1","Museum","108013","Not Available","Not Available","Not Available","Not Available","2236.5","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","108013","Not Available","Not Available","Not Available","Not Available","Not Available","108013","Not Available","Not Available","Not Available","Not Available","21094351.8","92168.5","921.685493","3064978.2"
"1080 Fifth Ave","1015010001","1961","1","Multifamily Housing","106700","Urgent Care/Clinic/Other Outpatient","3300","Not Available","Not Available","780","8","Not Available","110000","Not Available","106700","Not Available","Not Available","Not Available","110000","Not Available","Not Available","Not Available","Not Available","8702458.7","149718","1497.180422","716290.1"
"108 West 39th Street","1008140046","1927","1","Office","111449","Other","7500","Not Available","Not Available","393","89","Not Available","118949","111449","Not Available","Not Available","Not Available","Not Available","118949","Not Available","Not Available","Not Available","Not Available","2659467.9","0","0","798352.4"
"109 E 42nd St","1-01280-0030","1919","1","Hotel","1100000","Office","0","Not Available","Not Available","4633.6","93","Not Available","1100000","0","Not Available","Not Available","Not Available","Not Available","1100000","Not Available","Not Available","Not Available","Not Available","36599518.4","768410","7684.10001","7976290.8"
"109 E 50th St.","1013050001","1925","1","Worship Facility","105810","Pre-school/Daycare","14100","Restaurant","3860","610.9","28","Not Available","133080","Not Available","Not Available","Not Available","Not Available","Not Available","123770","Not Available","Not Available","Not Available","Not Available","5532456.8","667648.2","6676.48194","767481.1"
"109 East 16th St","1008720013","1909","1","Office","349777","Not Available","Not Available","Not Available","Not Available","965.5","96","Not Available","349777","349777","Not Available","Not Available","Not Available","Not Available","349777","Not Available","Not Available","Not Available","Not Available","5075359.9","Not Available","Not Available","2318026.3"
"109 East 16th St","1-00872-0013","1909","1","Office","308590","Not Available","Not Available","Not Available","Not Available","965.5","84","Not Available","308590","308590","Not Available","Not Available","Not Available","Not Available","308590","Not Available","Not Available","Not Available","Not Available","5075536","Not Available","Not Available","2318026.3"
"109 W 45 ST.","1-00998-0026","1900","1","Hotel","57909","Restaurant","2000","Retail Store","300","359.7","Not Available","Gross Floor Area is too small, Number of Workers on Main Shift is too small","60209","Not Available","Not Available","Not Available","300","Not Available","60209","Not Available","Not Available","Not Available","Not Available","3438377.1","874497.5","8744.974693","313221.6"
"10 Columbus Circle","1010497501","2004","1","Office","920504","Residence Hall/Dormitory","591640","Retail Store","545530","15683.6","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","2588546","920504","Not Available","141378","545530","60000","2588546","141378","Not Available","Not Available","89010","98224788.9","7181791.9","71817.91949","32359386.8"
"10 E 38th Street","1-00867-0064","1916","1","Office","44904","Restaurant","6591","Medical Office","5000","270.1","Not Available","Weekly Operating Hours is outside the allowed range","56495","44904","Not Available","Not Available","Not Available","Not Available","56495","Not Available","Not Available","Not Available","Not Available","881301.5","1870162.5","18701.62514","413945.5"
"10 E 70th St","1013840063","1962","1","Multifamily Housing","121195","Medical Office","1800","Not Available","Not Available","528.9","Not Available","Gross Floor Area is too small","122995","Not Available","121195","Not Available","Not Available","Not Available","122995","Not Available","Not Available","Not Available","Not Available","5443688.9","91820.9","918.208645","599637.8"
"10 East 40th Street","1008690066","1928","1","Office","400080","K-12 School","29990","Not Available","Not Available","2017.2","72","Not Available","430070","400080","Not Available","Not Available","Not Available","Not Available","430070","Not Available","Not Available","Not Available","Not Available","11291581.6","Not Available","Not Available","4674668.9"
"10 East 53rd Street","1012880007","1969","1","Office","317071","Not Available","Not Available","Not Available","Not Available","2502.4","38","Not Available","317071","317071","Not Available","Not Available","Not Available","Not Available","317071","Not Available","Not Available","Not Available","Not Available","18252302.4","Not Available","Not Available","4759661.5"
"10 Park Avenue","1-00864-0035","1932","1","Multifamily Housing","221098","Retail Store","6000","Not Available","Not Available","1164.7","58","Not Available","227098","Not Available","221098","Not Available","6000","Not Available","227098","Not Available","Not Available","Not Available","Not Available","12103546.3","1018582","10185.81967","1131966.3"
"10 Rockefeller Plaza","1-01264-0005","1939","1","Office","316653","Retail Store","92903","Not Available","Not Available","2515.9","47","Not Available","409556","316653","Not Available","Not Available","92903","Not Available","409556","Not Available","Not Available","Not Available","Not Available","14784150.1","Not Available","Not Available","3895417.7"
"10 W 57th Street","1-01272-0047","1916","1","Office","81192","Not Available","Not Available","Not Available","Not Available","278.8","84","Not Available","81192","81192","Not Available","Not Available","Not Available","Not Available","81192","Not Available","Not Available","Not Available","Not Available","1958826.4","Not Available","Not Available","548651.6"
"1100 Avenue of the Americas","1-01258-0001","2000","1","Office","349205","Not Available","Not Available","Not Available","Not Available","400.8","Not Available","Weekly Operating Hours is outside the allowed range","349205","349205","Not Available","Not Available","Not Available","Not Available","349205","Not Available","Not Available","Not Available","Not Available","336158.8","0","0","1395892.7"
"110 Central Park South","1-01011-0038","1927","1","Multifamily Housing","142283","Not Available","Not Available","Not Available","Not Available","667.8","12","Not Available","142283","Not Available","142283","Not Available","Not Available","Not Available","142283","Not Available","Not Available","Not Available","Not Available","4040003.4","18201.1","182.0110297","1469937.2"
"110 East 42nd","1012967501","1923","1","Office","294052","Social/Meeting Hall","24892","Parking","22232","1709.6","75","Not Available","319981","294052","Not Available","22232","Not Available","Not Available","319981","22232","Not Available","Not Available","Not Available","14483036.3","705354.8","7053.548139","2620433.6"
"110 East 57th St","1013110065","1957","1","Multifamily Housing","152280","Other","5050","Restaurant","3970","940.6","29","Not Available","161300","Not Available","152280","3600","Not Available","Not Available","161300","3600","Not Available","Not Available","Not Available","9937792.5","432312.6","4323.125853","950778.8"
"110 East 71st Street","1-01405-7501","1982","1","Multifamily Housing","36136","Not Available","Not Available","Not Available","Not Available","159.9","40","Not Available","36136","Not Available","36136","Not Available","Not Available","Not Available","36136","Not Available","Not Available","Not Available","Not Available","1030959.5","8797.7","87.9772735","335616.8"
"110 Third Avenue","1-00559-7501","2007","1","Multifamily Housing","113456","Other","1704","Not Available","Not Available","421.2","62","Not Available","115160","Not Available","113456","Not Available","Not Available","Not Available","115160","Not Available","Not Available","Not Available","Not Available","2200791","40631.8","406.3181851","1006673.5"
"110 Wall Street","1000370008","1965","1","Hotel","267570","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","There is not 12 full months of meter data","267570","Not Available","Not Available","Not Available","Not Available","Not Available","267570","Not Available","Not Available","Not Available","Not Available","9693238.3","Not Available","Not Available","5423619.4"
"110 Wall Street","1-00037-0008","1965","1","Multifamily Housing","166591","Office","83150","Hotel","34317","2386.7","19","Not Available","297503","83150","166591","Not Available","13445","Not Available","297503","Not Available","Not Available","Not Available","Not Available","9707409.7","1206395.8","12063.95762","6189319.3"
"110 West 57 Street","1010090040","1909","1","Office","39280","Not Available","Not Available","Not Available","Not Available","218.6","48","Not Available","39280","39280","Not Available","Not Available","Not Available","Not Available","39280","Not Available","Not Available","Not Available","Not Available","1014446","25402","254.0199075","553000.2"
"110 West End Ave","1-01156-0001","1904","1","Multifamily Housing","393600","Parking","23000","Other","9600","1199.7","94","Not Available","403200","Not Available","393600","23000","Not Available","Not Available","403200","23000","Not Available","Not Available","Not Available","11080757","892947.8","8929.47817","1536101.7"
"110 William Street","1000770008","1958","1","Office","875247","Bank Branch","13146","Data Center","3250","2952.4","82","Not Available","891643","875247","Not Available","Not Available","Not Available","Not Available","891643","Not Available","Not Available","Not Available","Not Available","15450771.8","0","0","7105459.2"
"1114 Avenue of the Americas","1-01258-0009","1971","1","Office","1511918","Restaurant","25369","Parking","20204","7203","70","Not Available","1537287","1511918","Not Available","20204","Not Available","Not Available","1537287","20204","Not Available","Not Available","Not Available","38878309","4876733.2","48767.33224","16090218.2"
"111 8th Avenue","1007390001","1932","1","Office","1595459","Data Center","615752","Medical Office","99304","45247.6","Not Available","More than 25% of the Portfolio Manager-Calculated Property GFA is considered ""Other.""","2336329","1595459","Not Available","67847","Not Available","Not Available","2336329","67847","Not Available","Not Available","Not Available","31432903.8","4034272.2","40342.72197","158397566"
"111 Broadway","1000490002","1905","1","Office","432093","Not Available","Not Available","Not Available","Not Available","3463.9","41","Not Available","432093","432093","Not Available","Not Available","Not Available","Not Available","432093","Not Available","Not Available","Not Available","Not Available","32756173.6","Not Available","Not Available","4753945"
"111 Broadway","1000490002","1905","1","Office","450000","Not Available","Not Available","Not Available","Not Available","2104.7","77","Not Available","450000","450000","Not Available","Not Available","Not Available","Not Available","450000","Not Available","Not Available","Not Available","Not Available","12286332.2","Not Available","Not Available","4753945"
"111 Broadway","1000490002","1905","1","Office","450000","Not Available","Not Available","Not Available","Not Available","2104.7","77","Not Available","450000","450000","Not Available","Not Available","Not Available","Not Available","450000","Not Available","Not Available","Not Available","Not Available","12286332.2","Not Available","Not Available","4753945"
"111 Centre St","1001690010","1960","1","Courthouse","467000","Parking","13740","Not Available","Not Available","1646.6","87","Not Available","467000","Not Available","Not Available","13740","Not Available","Not Available","467000","13740","Not Available","Not Available","Not Available","8963358.1","Not Available","Not Available","3878173.7"
"111 Columbia Street","1003350001","1958","1","K-12 School","181200","Not Available","Not Available","Not Available","Not Available","368.9","99","Not Available","181200","Not Available","Not Available","Not Available","Not Available","Not Available","181200","Not Available","Not Available","Not Available","Not Available","4082285.9","30900","308.9999995","354985.8"
"111 East 33rd Street","1008897501","1975","1","K-12 School","314952","Not Available","Not Available","Not Available","Not Available","1057.6","83","Not Available","314952","Not Available","Not Available","Not Available","Not Available","Not Available","314952","Not Available","Not Available","Not Available","Not Available","7441007.9","Not Available","Not Available","2078399.7"
"111 East 48th Street","1013030014","1926","1","Hotel","457390","Not Available","Not Available","Not Available","Not Available","1926.6","94","Not Available","457390","Not Available","Not Available","Not Available","Not Available","Not Available","457390","Not Available","Not Available","Not Available","Not Available","14749763.2","2201492.6","22014.92603","3062281.5"
"111 East 56th Street","1013110005","1927","1","Hotel","244619","Not Available","Not Available","Not Available","Not Available","1300.6","72","Not Available","244619","Not Available","Not Available","Not Available","Not Available","Not Available","244619","Not Available","Not Available","Not Available","Not Available","1137120","10324320.9","103243.2086","2495999.7"
"111 East 59th Street","1-01394-0005","1950","1","Office","171916","Retail Store","13431","Not Available","Not Available","676.1","81","Not Available","185347","171916","Not Available","Not Available","13431","Not Available","185347","Not Available","Not Available","Not Available","Not Available","4605650.3","0","0","1365647.5"
"111 East 85th Street","1-01514-0008","1971","1","Multifamily Housing","216104","Retail Store","5100","Parking","5000","917.7","63","Not Available","221204","Not Available","216104","5000","5100","Not Available","221204","5000","Not Available","Not Available","Not Available","8051747.7","187810.5","1878.105351","1376172.6"
"111 John Street","1000750030","1929","1","Office","296076","Not Available","Not Available","Not Available","Not Available","1338.4","89","Not Available","296076","296076","Not Available","Not Available","Not Available","Not Available","296076","Not Available","Not Available","Not Available","Not Available","9201802.2","Not Available","Not Available","2682991.3"
"111 W 90th St","1-01221-0007","1963","3","Multifamily Housing","392411","Not Available","Not Available","Not Available","Not Available","2385.8","34","Not Available","392411","Not Available","392411","Not Available","Not Available","Not Available","392411","Not Available","Not Available","Not Available","Not Available","22190683","1557904.8","15579.04814","3059728"
"111 Wall Street","1-00035-0010","1968","1","Office","990250","Not Available","Not Available","Not Available","Not Available","1834.3","99","Not Available","990250","990250","Not Available","Not Available","Not Available","Not Available","990250","Not Available","Not Available","Not Available","Not Available","13006892.6","Not Available","Not Available","3580241.3"
"111 West 33rd Street","1-00809-0053","1954","1","Office","718266","Retail Store","88151","Not Available","Not Available","2651.2","82","Not Available","806417","718266","Not Available","Not Available","88151","Not Available","806417","Not Available","Not Available","Not Available","Not Available","5259377.4","Not Available","Not Available","8490436.6"
"111 West 44 Street","1-00997-0023","1907","1","Performing Arts","49500","Not Available","Not Available","Not Available","Not Available","94.1","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","49500","Not Available","Not Available","Not Available","Not Available","Not Available","49500","Not Available","Not Available","Not Available","Not Available","623684.7","Not Available","Not Available","194163.2"
"111 West 57th Street","1-01010-7507","1924","1","Multifamily Housing","524487","Retail Store","41452","Office","6409","1833.2","89","Not Available","572348","6409","524487","Not Available","41452","Not Available","572348","Not Available","Not Available","Not Available","Not Available","15727305.6","12023.5","120.2352932","2907572.7"
"1120 Avenue of the Americas","1-01259-0001","1954","1","Office","615347","Parking","142000","Data Center","2000","2965.2","69","Not Available","617347","615347","Not Available","142000","Not Available","Not Available","617347","142000","Not Available","Not Available","Not Available","17735108.6","Not Available","Not Available","6593163.4"
"1130 Amsterdam Avenue","1018860001","1907","1","Residence Hall/Dormitory","87639","Not Available","Not Available","Not Available","Not Available","748.5","31","Not Available","87639","Not Available","Not Available","Not Available","Not Available","Not Available","87639","Not Available","Not Available","Not Available","Not Available","4024328.9","Not Available","Not Available","825781.3"
"113 W 60th St","1011320020","1961","1","College/University","386575","Not Available","Not Available","Not Available","Not Available","3042.6","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","386575","Not Available","Not Available","Not Available","Not Available","Not Available","386575","Not Available","Not Available","Not Available","Not Available","21506881.8","Not Available","Not Available","5954988"
"113 W 62nd St","1011320020","1961","3","College/University","1147386","Not Available","Not Available","Not Available","Not Available","6153.2","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","1147386","Not Available","Not Available","Not Available","Not Available","Not Available","1147386","Not Available","Not Available","Not Available","Not Available","21506881.8","24385554.8","243855.5475","12650729.9"
"1140 Amsterdam","1019730001","1910","1","College/University","111632","Not Available","Not Available","Not Available","Not Available","887.3","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","111632","Not Available","Not Available","Not Available","Not Available","Not Available","111632","Not Available","Not Available","Not Available","Not Available","4982693.2","Not Available","Not Available","908171"
"1140 Avenue of Americas","1012600001","1926","1","Office","220045","Financial Office","35643","Restaurant","4312","1102.2","69","Not Available","260000","220045","Not Available","Not Available","Not Available","Not Available","260000","Not Available","Not Available","Not Available","Not Available","4793284.7","1616016.2","16160.16239","2574964.4"
"114 East 72nd St","1014060065","1963","1","Multifamily Housing","117368","Urgent Care/Clinic/Other Outpatient","4000","Not Available","Not Available","381.9","98","Not Available","121368","Not Available","117368","Not Available","Not Available","Not Available","121368","Not Available","Not Available","Not Available","Not Available","2968735.4","60541.7","605.4173346","669683.8"
"114  West  47th  st","1009990019","1989","1","Financial Office","577534","Not Available","Not Available","Not Available","Not Available","2407.5","74","Not Available","577534","Not Available","Not Available","Not Available","Not Available","Not Available","577534","Not Available","Not Available","Not Available","Not Available","10562069.7","893036.7","8930.366754","6117997"
"1150 Amsterdam Avenue","1019730001","1911","1","College/University","64447","Not Available","Not Available","Not Available","Not Available","213","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","64447","Not Available","Not Available","Not Available","Not Available","Not Available","64447","Not Available","Not Available","Not Available","Not Available","102684","Not Available","Not Available","524300.6"
"1155  Avenue  of  the  Americas","1009970029","1982","1","Office","681611","Bank Branch","5227","Not Available","Not Available","2190.6","83","Not Available","686838","681611","Not Available","Not Available","Not Available","Not Available","686838","Not Available","Not Available","Not Available","Not Available","6414034.1","Not Available","Not Available","6508637.9"
"1156 Avenue of the Americas","1012600071","1911","1","Office","74164","Bank Branch","8083","Not Available","Not Available","322.4","82","Not Available","82247","74164","Not Available","Not Available","Not Available","Not Available","82247","Not Available","Not Available","Not Available","Not Available","1546248.7","0","0","810582.3"
"115 Broadway","1000500001","1908","1","Office","389091","Retail Store","7516","Not Available","Not Available","1856.2","75","Not Available","396607","389091","Not Available","Not Available","7516","Not Available","396607","Not Available","Not Available","Not Available","Not Available","10852242.9","272883.9","2728.839416","4134918"
"115  Broadway","1000500001","1908","1","Office","400000","Not Available","Not Available","Not Available","Not Available","1888.6","79","Not Available","400000","400000","Not Available","Not Available","Not Available","Not Available","400000","Not Available","Not Available","Not Available","Not Available","11341170.8","272883.9","2728.839416","4134918"
"115  Broadway","1000500001","1908","1","Office","400000","Not Available","Not Available","Not Available","Not Available","1888.6","79","Not Available","400000","400000","Not Available","Not Available","Not Available","Not Available","400000","Not Available","Not Available","Not Available","Not Available","11341170.8","272883.9","2728.839416","4134918"
"115 East 57 Street","1013127501","1975","1","Multifamily Housing","398754","Office","99928","Parking","22457","3237.6","25","Not Available","511787","99928","398754","22457","13105","Not Available","511787","22457","Not Available","Not Available","Not Available","28067735.8","591015.7","5910.156957","4951655.7"
"1166 Avenue of the Americas","1012617501","1974","1","Office","1381780","Financial Office","164000","Bank Branch","7238","9960.6","60","Not Available","1556174","1381780","Not Available","Not Available","Not Available","Not Available","1556174","Not Available","Not Available","Not Available","Not Available","81260236.9","Not Available","Not Available","16837313.1"
"116 Street","1018670042;1018670052;1018670054;1018670064;1018670070;1018670074;1018850037;1018850040;1018850043;1018850061;1018857501;1018860001;1018950032;1018960057;1019610001;1019610037;1019610039;1019610057;1019730001;1019900022;1019900025;1019900029;1019900044;1019900050","1910","60","College/University","4923647","Residence Hall/Dormitory","1892319","Multifamily Housing","42352","104993.2","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","6895156","Not Available","42352","Not Available","Not Available","Not Available","6895156","Not Available","5603075.5","Not Available","Not Available","257631494","818566007.8","8185660.078","95979670.8"
