"address_1","nyc_borough_block_and_lot_bbl","year_built","number_of_buildings","largest_property_use_type","largest_property_use_type_gross_floor_area_ft","_2nd_largest_property_use_type","_2nd_largest_property_use_gross_floor_area_ft","_3rd_largest_property_use_type","_3rd_largest_property_use_type_gross_floor_area_ft","total_ghg_emissions_metric_tons_co2e","energy_star_score","reason_s_for_no_score","property_gfa_self_reported_ft","office_gross_floor_area_ft","multifamily_housing_gross_floor_area_ft","parking_gross_floor_area_ft","retail_store_gross_floor_area_ft","supermarket_grocery_gross_floor_area_ft","property_gfa_calculated_buildings_ft","property_gfa_calculated_parking_ft","fuel_oil_2_use_kbtu","fuel_oil_4_use_kbtu","diesel_2_use_kbtu","district_steam_use_kbtu","natural_gas_use_kbtu","natural_gas_use_therms","electricity_use_grid_purchase_kwh"
"660 Madison Ave.","1-01375-7502","1958","1","Office","256459","Retail Store","230000","Not Available","Not Available","4382.1","12","Not Available","486459","256459","Not Available","Not Available","230000","Not Available","486459","Not Available","Not Available","Not Available","Not Available","28514945.4","2342433","23424.32978","8720301.2"
"661 Lexington Avenue","1-01310-0022","1902","1","Office","26908","Retail Store","8500","Not Available","Not Available","159.4","89","Not Available","35408","26908","Not Available","Not Available","8500","Not Available","35408","Not Available","Not Available","Not Available","Not Available","958946.9","1989.1","19.89090959","352605.5"
"663 Fifth Avenue","1012880003","1916","1","Retail Store","35973","Office","31066","Personal Services (Health/Beauty, Dry Cleaning, etc.)","10547","593.6","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","77586","31066","Not Available","Not Available","35973","Not Available","77586","Not Available","Not Available","Not Available","Not Available","3613622.9","Not Available","Not Available","1304287.4"
"665 Fifth Ave","1012880069","1973","1","Office","109514","Retail Store","13857","Not Available","Not Available","1199.5","32","Not Available","123371","109514","Not Available","Not Available","13857","Not Available","123371","Not Available","Not Available","Not Available","Not Available","9515475.6","Not Available","Not Available","2093887"
"666 Fifth Avenue","1-01268-7502","1957","1","Office","1417972","Retail Store","123877","Parking","16968","9686.2","44","Not Available","1563751","1417972","Not Available","16968","123877","Not Available","1563751","16968","Not Available","Not Available","Not Available","48021606","Not Available","Not Available","23965230"
"666 Third Avenue","1-01297-0033","1951","1","Office","702025","Financial Office","62299","Other","5097","3480","71","Not Available","769421","702025","Not Available","Not Available","Not Available","Not Available","769421","Not Available","Not Available","Not Available","Not Available","17896481.3","Not Available","Not Available","8452515.1"
"667 Madison Avenue","1013750049","1987","1","Office","232462","Retail Store","12820","Not Available","Not Available","991.1","74","Not Available","245282","232462","Not Available","Not Available","12820","Not Available","245282","Not Available","Not Available","Not Available","Not Available","4306881.7","Not Available","Not Available","2600731.3"
"66 East 79th St","1013930043","1926","1","Multifamily Housing","59750","Urgent Care/Clinic/Other Outpatient","1275","Not Available","Not Available","276.7","Not Available","Total Number of Residential Living Units is too small","61025","Not Available","59750","Not Available","Not Available","Not Available","61025","Not Available","Not Available","Not Available","Not Available","3165022.7","43233.3","432.3333056","236890.5"
"66 Park Avenue","1008670042","1995","1","Hotel","105231","Not Available","Not Available","Not Available","Not Available","718.8","60","Not Available","105231","Not Available","Not Available","Not Available","Not Available","Not Available","105231","Not Available","Not Available","Not Available","Not Available","5914386.3","752657.8","7526.57758","1055123.4"
"675 3rd Ave","1013160001","1966","1","Office","289356","Not Available","Not Available","Not Available","Not Available","1924.2","58","Not Available","289356","289356","Not Available","Not Available","Not Available","Not Available","289356","Not Available","Not Available","Not Available","Not Available","16623125.9","Not Available","Not Available","3025999.1"
